epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2464,1.60162,4.50282,1.50345,0.13462,0.22443,0.12579,0.07505,1.53572,2.56541,1.22697,0.000328889,0.000328889,0.000328889
2,64.7866,1.51444,2.63839,1.4347,0.42831,0.17553,0.08702,0.05414,1.56025,3.33412,1.31711,0.000658944,0.000658944,0.000658944
3,89.1458,1.56014,2.54729,1.45771,0.28199,0.13849,0.07579,0.03958,1.72262,3.65298,1.42137,0.0009857,0.0009857,0.0009857
4,113.454,1.59013,2.53208,1.48579,0.43978,0.1423,0.08346,0.05024,1.57898,3.42886,1.34826,0.00098515,0.00098515,0.00098515
5,136.663,1.54957,2.49279,1.44503,0.45295,0.20589,0.11878,0.07118,1.53303,2.58775,1.33023,0.0009802,0.0009802,0.0009802
6,160.485,1.53039,2.43586,1.43603,0.45094,0.16607,0.11505,0.06697,1.56923,2.66696,1.33694,0.00097525,0.00097525,0.00097525
7,184.613,1.54156,2.41743,1.44962,0.43848,0.21355,0.11779,0.06676,1.69799,2.4808,1.37069,0.0009703,0.0009703,0.0009703
8,207.374,1.52498,2.38854,1.43342,0.48292,0.16362,0.12329,0.07062,1.59013,2.33292,1.33348,0.00096535,0.00096535,0.00096535
9,230.402,1.52203,2.34482,1.43151,0.46536,0.1699,0.12609,0.07213,1.60201,3.08214,1.32156,0.0009604,0.0009604,0.0009604
10,253.978,1.49962,2.30255,1.39054,0.31446,0.19846,0.14389,0.08427,1.56878,2.24406,1.30556,0.00095545,0.00095545,0.00095545
11,277.077,1.50261,2.31411,1.40582,0.31687,0.19123,0.1302,0.07323,1.62494,2.5103,1.32483,0.0009505,0.0009505,0.0009505
12,299.603,1.48264,2.26044,1.40496,0.30993,0.19071,0.13152,0.07956,1.52608,2.32867,1.28468,0.00094555,0.00094555,0.00094555
13,322.264,1.483,2.24353,1.40017,0.32817,0.22837,0.15169,0.08833,1.57607,2.13356,1.31504,0.0009406,0.0009406,0.0009406
14,345.42,1.44547,2.18011,1.36667,0.30607,0.20745,0.12243,0.07199,1.4871,2.49815,1.28616,0.00093565,0.00093565,0.00093565
