epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9797,1.39367,3.46069,1.2688,0.00895,0.48279,0.0748,0.05481,1.16148,3.07608,1.04044,0.000328889,0.000328889,0.000328889
2,42.8971,1.3748,2.741,1.22528,0.13502,0.22244,0.0802,0.05475,1.27949,2.47662,1.11009,0.000655666,0.000655666,0.000655666
3,58.9882,1.42608,2.69424,1.26674,0.28713,0.17541,0.08831,0.06058,1.38219,2.54384,1.20964,0.000975844,0.000975844,0.000975844
4,75.0077,1.43795,2.65025,1.28518,0.27907,0.19758,0.08802,0.05803,1.35316,2.33615,1.1467,0.0009703,0.0009703,0.0009703
5,90.9918,1.42149,2.51811,1.26665,0.09399,0.18138,0.08346,0.05713,1.33116,2.74567,1.16184,0.0009604,0.0009604,0.0009604
6,106.456,1.37885,2.41557,1.22535,0.33322,0.18073,0.11345,0.0741,1.32203,2.30901,1.14005,0.0009505,0.0009505,0.0009505
7,122.001,1.38035,2.32779,1.22731,0.31132,0.19004,0.09877,0.0648,1.29128,2.24417,1.14794,0.0009406,0.0009406,0.0009406
8,138.22,1.33223,2.27514,1.20686,0.47553,0.16331,0.1122,0.07432,1.31273,2.22647,1.14483,0.0009307,0.0009307,0.0009307
9,152.706,1.33734,2.2424,1.21428,0.17019,0.21861,0.12413,0.08339,1.31933,2.16256,1.14657,0.0009208,0.0009208,0.0009208
10,169.303,1.33878,2.24307,1.21405,0.11326,0.17522,0.10113,0.0699,1.26695,2.41893,1.13805,0.0009109,0.0009109,0.0009109
11,186.053,1.33757,2.17531,1.19586,0.11854,0.20355,0.12111,0.08278,1.27667,2.16287,1.13315,0.000901,0.000901,0.000901
12,201.403,1.30828,2.14636,1.18805,0.31812,0.21038,0.13276,0.09443,1.27445,2.30913,1.11522,0.0008911,0.0008911,0.0008911
13,217.436,1.29319,2.09767,1.18759,0.11088,0.20841,0.12015,0.08196,1.25569,2.18948,1.11571,0.0008812,0.0008812,0.0008812
14,232.711,1.33435,2.11103,1.20436,0.12168,0.23344,0.12424,0.08635,1.23968,2.08967,1.13345,0.0008713,0.0008713,0.0008713
15,248.835,1.27659,2.05576,1.16331,0.14272,0.21524,0.13951,0.09471,1.25831,2.07049,1.13098,0.0008614,0.0008614,0.0008614
16,263.704,1.27674,2.05616,1.17255,0.17028,0.2123,0.12933,0.08866,1.2825,2.09189,1.13723,0.0008515,0.0008515,0.0008515
17,280.744,1.2458,2.01014,1.15672,0.13576,0.20273,0.13226,0.08988,1.24278,2.06414,1.12591,0.0008416,0.0008416,0.0008416
18,296.84,1.25127,1.98532,1.14944,0.37573,0.19631,0.13699,0.09577,1.25423,2.05263,1.12044,0.0008317,0.0008317,0.0008317
19,311.609,1.24529,1.97143,1.1637,0.17336,0.25786,0.14864,0.10435,1.22726,2.11214,1.1167,0.0008218,0.0008218,0.0008218
20,328.149,1.22826,1.93657,1.15625,0.14566,0.20627,0.13214,0.09581,1.17908,2.04103,1.08801,0.0008119,0.0008119,0.0008119
21,342.408,1.21091,1.91426,1.15326,0.16689,0.23468,0.15054,0.1045,1.20741,1.9983,1.10643,0.000802,0.000802,0.000802
22,359.054,1.23334,1.917,1.16701,0.3609,0.21904,0.13665,0.09188,1.24906,2.27201,1.12336,0.0007921,0.0007921,0.0007921
23,375.163,1.23584,1.90186,1.15583,0.19066,0.22561,0.14841,0.10433,1.24409,2.00615,1.10644,0.0007822,0.0007822,0.0007822
24,391.011,1.1961,1.88188,1.13604,0.22991,0.25308,0.15879,0.11144,1.21702,2.02741,1.10926,0.0007723,0.0007723,0.0007723
25,409.598,1.19289,1.84873,1.13371,0.37273,0.19309,0.14847,0.10159,1.21,2.13805,1.10968,0.0007624,0.0007624,0.0007624
26,425.508,1.20844,1.83404,1.12462,0.20771,0.24877,0.16142,0.11089,1.22152,2.03575,1.11466,0.0007525,0.0007525,0.0007525
27,440.845,1.20287,1.85947,1.1437,0.36567,0.16047,0.14129,0.1012,1.20666,2.09218,1.11704,0.0007426,0.0007426,0.0007426
28,457.408,1.19403,1.83162,1.13847,0.23513,0.2452,0.15154,0.10662,1.21395,2.02993,1.10691,0.0007327,0.0007327,0.0007327
29,472.773,1.18809,1.79754,1.12312,0.18583,0.22812,0.16374,0.11435,1.18189,1.96818,1.08935,0.0007228,0.0007228,0.0007228
30,486.726,1.16031,1.75654,1.10946,0.19468,0.18599,0.14809,0.1036,1.20772,2.06544,1.10475,0.0007129,0.0007129,0.0007129
31,504.174,1.18072,1.78661,1.11291,0.21124,0.25509,0.16697,0.11306,1.21034,1.94245,1.10554,0.000703,0.000703,0.000703
32,519.671,1.14728,1.74224,1.11396,0.21177,0.23177,0.1737,0.12186,1.18819,1.98366,1.10989,0.0006931,0.0006931,0.0006931
33,535.86,1.16526,1.73502,1.11959,0.19227,0.23048,0.15208,0.10754,1.24199,2.08702,1.12068,0.0006832,0.0006832,0.0006832
34,553.18,1.14253,1.67379,1.09989,0.33627,0.21092,0.15132,0.10457,1.21384,2.23101,1.11872,0.0006733,0.0006733,0.0006733
35,569.544,1.14562,1.72294,1.11907,0.24903,0.19518,0.15815,0.11024,1.18048,2.01918,1.09459,0.0006634,0.0006634,0.0006634
36,585.302,1.17885,1.71631,1.11196,0.2073,0.21769,0.15288,0.11022,1.22062,2.06712,1.10924,0.0006535,0.0006535,0.0006535
37,602.572,1.14729,1.69507,1.11053,0.21263,0.25194,0.14517,0.10537,1.19272,2.07939,1.11028,0.0006436,0.0006436,0.0006436
38,618.131,1.13616,1.64736,1.12175,0.23984,0.21123,0.15598,0.10776,1.21213,2.04042,1.09699,0.0006337,0.0006337,0.0006337
39,633.643,1.11886,1.63079,1.09378,0.21442,0.22748,0.1718,0.12268,1.18692,1.96599,1.09422,0.0006238,0.0006238,0.0006238
40,651.01,1.1179,1.63029,1.09475,0.38413,0.23636,0.16224,0.11315,1.20467,2.04527,1.11059,0.0006139,0.0006139,0.0006139
41,665.787,1.12441,1.58475,1.09705,0.25717,0.20373,0.15756,0.11414,1.19319,2.01768,1.10053,0.000604,0.000604,0.000604
42,681.898,1.12112,1.59659,1.09355,0.19405,0.22103,0.14781,0.10623,1.21829,2.12172,1.1114,0.0005941,0.0005941,0.0005941
43,698.495,1.13217,1.55615,1.08952,0.19828,0.22554,0.15872,0.1128,1.19231,2.02959,1.09311,0.0005842,0.0005842,0.0005842
44,714.213,1.11133,1.55459,1.09397,0.20089,0.23274,0.15283,0.10864,1.12857,2.02726,1.07642,0.0005743,0.0005743,0.0005743
45,731.259,1.11631,1.56986,1.08436,0.20236,0.2296,0.15564,0.10841,1.1918,2.09365,1.11485,0.0005644,0.0005644,0.0005644
46,747.503,1.09536,1.50438,1.08046,0.22002,0.19644,0.16407,0.11482,1.16916,2.08722,1.08473,0.0005545,0.0005545,0.0005545
47,762.564,1.09968,1.52661,1.07763,0.1928,0.22689,0.15585,0.10992,1.17462,2.09572,1.08434,0.0005446,0.0005446,0.0005446
48,778.747,1.12004,1.51746,1.08657,0.20972,0.2093,0.15976,0.1143,1.17847,2.02611,1.09944,0.0005347,0.0005347,0.0005347
49,793.359,1.09894,1.50796,1.0833,0.19432,0.233,0.15849,0.1125,1.16781,2.06324,1.09478,0.0005248,0.0005248,0.0005248
50,809.834,1.07191,1.48871,1.06776,0.22298,0.23067,0.1535,0.10759,1.21689,2.08055,1.11973,0.0005149,0.0005149,0.0005149
